T04n0192_p0001a01_##<mj>
T04n0192_p0001a02N##No. 192
T04n0192_p0001a03J##[01]佛所行讚卷第一[02](亦云佛本行經)
T04n0192_p0001a04_##
T04n0192_p0001a05A##[03]馬鳴菩薩[04]造
T04n0192_p0001a06Y##北涼天竺三藏曇無讖譯
T04n0192_p0001a07D##[05]生品第一
T04n0192_p0001a08S##　甘蔗之苗裔，　　釋迦無勝王，
T04n0192_p0001a09S##　淨財德純備，　　[06]故名曰[07]淨飯，
T04n0192_p0001a10S##　群生樂瞻仰，　　猶如初生月。
T04n0192_p0001a11S##　王如天帝釋，　　夫人猶[08]舍脂，
T04n0192_p0001a12S##　執志安如地，　　心淨若蓮花，
T04n0192_p0001a13S##　假譬名[09]摩耶，　　其實無倫比。
T04n0192_p0001a14S##　於彼[10]象天后，　　降神而處胎。
T04n0192_p0001a15S##　母悉離憂患，　　不生幻偽心，
T04n0192_p0001a16S##　厭惡[11]彼諠俗，　　樂處空閑林。
T04n0192_p0001a17S##　[12]藍毘尼勝園，　　流泉花果茂，
T04n0192_p0001a18S##　寂靜[13]順禪思，　　啟王請遊彼。
T04n0192_p0001a19S##　王知其志願，　　而生奇特想，
T04n0192_p0001a20S##　[束*力]內外眷屬，　　俱詣彼園林。
T04n0192_p0001a21S##　爾時摩耶后，　　自知產時至，
T04n0192_p0001a22S##　偃寢安勝床，　　百千婇女侍。
T04n0192_p0001a23S##　[14]時四月八日，　　[15]清和氣調適，
T04n0192_p0001a24S##　齋戒修淨德，　　菩薩右[月*劦]生，
T04n0192_p0001a25S##　大悲救世間，　　不令母苦惱。
T04n0192_p0001a26S##　[16]優留王股生，　　[17][畀>卑]偷王手生，
T04n0192_p0001a27S##　[18]曼陀王頂生，　　[19]伽叉王腋生。
T04n0192_p0001a28S##　菩薩亦如是，　　誕從右[月*劦]生，
T04n0192_p0001a29S##　漸漸從胎出，　　光明普照耀，
T04n0192_p0001b01S##　如從虛空墮，　　不由於生門。
T04n0192_p0001b02S##　修德無量劫，　　自知生不[20]死，
T04n0192_p0001b03S##　安諦不傾動，　　明顯妙端嚴。
T04n0192_p0001b04S##　晃然[21]後胎現，　　猶如日初昇，
